Model_application_category,Definition,Model_application_subcategory,Purpose_problem_to solve,How_predictions_inform_decisions,How_uncertainty_influence_decisions,Explanation (Hypothesis testing),Predictions (spatially explicit),Projection (Extrapolation),Predictions (Non-spatially explicit),Spatial_extent,Landscape_representation,Taxonomic_level,Omission_errors,Commission_errors,What_practitioners_want,Reference_example
Sampling,Sampling is an iterative cycle where existing model predictions actively dictate where field biologists should go next to gather the most valuable data.,Survey design,,,,0,1,0,1,"Range-wide, Jurisdictional, Spatial management unit",Binary,Single species,Very high,Moderate,Users want to minimize omissions to ensure the survey is comprehensive and captures the full variation of the species' niche.,Peterman et al. (2013)
Restoration,,Site selection,,,,0,1,1,1,"Jurisdictional, Spatial management unit",Binary,"Single species, Populations",Moderate,Very high,"""Users prioritize Critical Avoidance of commission errors to ensure a high Return on Investment. A commission error occurs when the model predicts a site is suitable for restoration, but the species fails to establish there after the work is done.""",Silva et al. (2016)
Biological invasions,,Invasive species management,,,,1,1,1,0,"Global, Range-wide, Jurisdictional, Spatial management unit",Continuos,"Single species, Populations",Very high,Moderate,"""Users want to minimize omissions to ensure early detection and rapid response. If a model omits a high-risk areas of invasion, the species can establish itself unnoticed. By the time it is discovered, the window for control/eradication has usually closed, and the cost of management might increase substantially.""",Lyons et al. (2020); Srivastava et. (2019); Gallien et al. (2012)
Biological invasions,,Forecasting invasive species spread,A new invader is likely to impact particular habitats.,Predicting areas of potential occupancy to target surveillance and management.,"""Under-prediction may miss critical surveillance, over-prediction may waste management resources.""",1,0,1,0,"Global, Range-wide, Jurisdictional, Spatial management unit",Continuos,"Single species, Populations",Very high,Moderate,"""Users want to minimize mistakes that result in a """"game over"""" scenario, that is the irreversible expansion of the invasive species beyond the point of human control.""",Barbet et al. (2018); Jarnevich et al. (2018)
Biological invasions,,Invasion risk,,,,1,0,1,0,"Global, Range-wide, Jurisdictional, Spatial management unit",Continuos,"Single species, Populations",Very high,Moderate,Fails to flag a vulnerable area as high risk. Missing a potential risk zone can lead to an irreversible ecological and economic disaster.,McCulloch et al. (2023);  Hui (2023)
Translocations,,Reintroduction planning,,,,1,1,1,0,"Jurisdictional, Spatial management unit",Continuos,"Single species, Populations",Moderate,Very high,Users want Critical Avoidance of commission. They need the highest possible certainty that the destination can support the species for the long term.,Finn et al. (2024)
Climate change,,Future species range expansion and/or contractions,,,,1,0,1,0,"Global, Range-wide",Continuos,"Single species, Taxonomic group, Biodiversity",Very high,Moderate,"""If a model omits these new areas, managers may not secure """"stepping stone"""" corridors to help the species reach its future home. """,Elith et al. (2010); Soafer et al. (2018)
Climate change,,Identify the effect of climate change on species abundances,,,,1,0,1,0,"Global, Range-wide",Continuos,"Single species, Taxonomic group, Biodiversity",Very high,Moderate,Missing a decline prevents timely interventions,Howard et al. (2014); Waldock et al. (2021)
Climate change,,Identify climate refugia,,,,1,0,1,0,"Global, Range-wide",Binary,"Single species, Taxonomic group, Biodiversity",Very high,Moderate,"""Users prioritize avoiding Omission errors to ensure they don't miss the last stands of a species (climate refugia), while High Avoidance of Commission is necessary to prevent investing in sink habitats that will become unsuitable before restoration can take hold.""",Stralberg et al. (2025); Leston et al. (2024)
Climate change,,Identify potential species and ecosystems distributional shifts,,,,1,0,1,0,"Global, Range-wide",Binary,"Single species, Taxonomic group, Biodiversity",Very high,Moderate,Fails to detect a tipping point or regime shift.,
Ecosystem management,,Forest management,,,,0,1,1,1,"Jurisdictional, Spatial management unit",Continuos,"Single species, Populations",High,Very high,User want to avoid implementing actions in areas where species of concern are most likely present,
Ecosystem management,,Stock assessments,,,,0,1,1,1,"Jurisdictional, Spatial management unit",Continuos,"Single species, Populations",High,Very high,Priority given to errors that lead to overharvesting.,Hart et al. (2025); Paradinas et al. (2023)
Calculation of biodiversity metrics,,Using SDMS to calculate biodiversity metrics to inform global and national targets (Species habitat Index),,,,0,1,0,0,"Global, Range-wide",Binary,"Single species, Biodiversity, Populations",Moderate,Very high,Omissions lead to a systematic underestimation of global biodiversity loss.,Karimi et al. (2025); Dansereau et al. (2022)
Testing SDMs assumptions,,Testing SDMs assumptions,,,,1,1,1,0,"Global, Range-wide",Continuos,Single species,Very high,Very high,"""Users want to identify which specific errors occur and why they occur (e.g., is the model over-fitting or under-fitting?)""",Foster et al. (2022); Rousseau & Betts (2022)
Paleoecological studies,,Hindcasting,,,,1,0,1,0,Global,Continuos,"Single species, Taxonomic group, Biodiversity",Moderate,High,"""The primary priority is avoiding Omission errors that would miss the small, isolated refugia that were critical for the species' survival during past climate extremes.""",Hodel et al. (2022); Regos et al. (2018)
Hypothesis testing,,"Identify causal factors, variable importance, biotic interactions",,,,1,0,0,1,"Global, Range-wide",Continuos,Single species,High,Very high,"""Avoid commission: vital for ensuring the model isn't just """"predicting everywhere,"""" which would invalidate the specificity of the ecological hypothesis. Avoid omission: necessary to ensure the hypothesis isn't prematurely rejected due to poor model sensitivity.""",
Population management,,"Trend estimation, population assessment, range estimation",,,,0,1,1,1,"Jurisdictional, Spatial management unit, Population",Continuos,"Single species, Populations",Very high,Moderate,"""Priority given to errors that hide a decline. In population management, the cost of being too optimistic is usually extinction.""",Sen et al. (2024); Oliver et al. (2012); Knight et al. (2021); Torres et al. (2012)
