Key_stages,Model_step,Criterion,Author_reference,Issue(Araujo)/Hazard(Soley),Assumption_Description,Assumption_relative_importance,Violation_of_Assumptions,Effects_Category,Effects_Subcategory,Omission_errors,Commission_errors,Potential_Solutions,Explanation (Hypothesis testing),Predictions (Spatially explicit),Projection (Extrapolation),Predictions (Non-spatially explicit),Questions_Evaluation_Tool,Questions_General
"Data quality, relevance and preparation",Species datasets,Species data in environmental extent,Araujo et al. (2019),Issue 1D,"The assumtption is that species data sets cover the range of the taxon’s environmental tolerances within the study area (Araujo et al 2019). Models attempt to quantify the environmental niche of species through models, and therefore the data used to do so need to include all possible environments that represent suitable habitats for the species modeled (Guisan et al. 2017). See also: Dubos et al. (2022), Taylor et al. (2019), Vollering et al. (2019).  ",Fundamental assumptions (High),"Species data sets (observations, counts, etc.) usually cover a small portion of the range of environmental tolerances within the study area.",Undepredictions,Omission errors,Very high,High,"""Implement Ensembles of Small Models (ESMs): Instead of one complex model, generate many simple (bivariate) models and average them to avoid overfitting, which is particularly effective for rare or restricted-range species."", ""Implement Spatially Nested Species Distribution Models (N-SDMs): Combine a broad-scale, coarse-grain model (covering the full range) with a local, fine-grain model (focusing on the study area). (Guisan et al. 2025)"", Implement Hierarchical Bayesian Models: These models allow for the integration of data from multiple sources and help separate environmental signals from sampling biases., ""Implement Environmental Filtering: Instead of filtering by geography, filter the data to ensure an even distribution across the environmental gradients (e.g. Temperature, Elevation) to ensure all tolerances are represented.""",1,1,1,,,"How does the chosen geographical extent capture and appropiate environemental extent of the species and influence the definition of the species' ecological niche?, ""Does increasing the extent to the entire geographic range provide a more complete picture of the species' environmental tolerances, potentially improving model accuracy by encompassing a wider range of environmental conditions?"", ""Does a limited extent (e.g. a single island or mountain range) inadvertently truncate the range of environmental conditions the species can tolerate across its full distribution, leading to an incomplete or biased characterization of its niche?"", ""Alternatively, can too large an extent introduce populations with different environmental responses (due to local adaptation or genetic variation), thereby reducing model accuracy or leading to over-generalized predictions?"", ""Will a model built on a limited extent (e.g. current conditions) accurately predict potential range shifts or expansions into novel environmental conditions (e.g. under climate change scenarios) where environmental data were not available during model training?"", ""Does the choice of extent affect the ability to project models to different geographic areas (e.g. predicting an invasive species' potential range in a new region using data only from its native range)?"", ""Is the chosen extent ecologically relevant to the species' life history, dispersal ability, and habitat selection processes (e.g. home range vs. geographic range)?"", ""How do different extents and grain sizes affect conclusions made about landscape properties, such as habitat connectivity or the impacts of disturbances like roads?"", ""Should models be built at a mosaic of extents to account for non-stationarity in species-environment relationships across a broad area, rather than a single, range-wide model?"""
"Data quality, relevance and preparation",Species datasets,Species data in geographic extent,Araujo et al. (2019),Issue 1E,"Samples restricted to and inclusive of all regions of the study area that are suitable for the taxa to establish populations, and that are accessible to the taxon (Araujo et al. 2019). ""The geographic extent used to fit the model include all possible conditions that compose the ecological niche of a species"" (Guisan et al. 2025).",Fundamental assumptions (High),"Species data sets (observations, counts, etc.) usuallly cover a small portion of the regions within the study area. ""...there is a risk that the modelled response curves of the species along environmental gradients are truncated, resulting in biased and often incorrect predictions of species distributions"" (Chevalier et al. 2021)  (Guisan et al. 2025). ""Models built with local species data performed better for the future than those incorporating broad species data and their current predictions reflected the realized distribution of species but they suffered from niche truncation while extrapolated to the future"" (Anselmetto et al. 2025).","Undepredictions, Accuracy","Underestimation of the Ecological Niche, It can lead to biased projections of species distributions under climate change",Very high,High,"Implement Nested SDMs (N-SDMs; Guisan et al. 2025)., Calibrate models over the whole species range; then focus on regions (e.g.; Scherrer et al.  2021)., Acknowledge modelers were unable to address this assumption.",1,1,1,,,How does the chosen species datasets' geographical extent capture the species' ecological niche?
"Data quality, relevance and preparation",Species datasets,Sample size is appropriate,,,"The effective sample size of occurrences is appropriate for the statistical analysis (e.g. Hernandez et al. 2006, Radomski et  al. 2022).",Working assumptions (Moderate),"Small sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences (Stockwell and Peterson 2002, McPherson et al. 2004). (e.g. Hernandez et al. 2006).  sample size has the most profound effect on the performance of an SDM (Thibaud et al. 2014, Santini et al. 2021). Sample size poses an important constraint to the model complexity, i.e. to the number of parameters to be estimated, as well as to the algorithms and their settings used for modelling (Moudrý et al. 2024).","Accuracy, Overpredictions","Potentially misrepresenting species distributions, Reduce the statistical power",Very high,High,"It requires careful consideration of the purpose of the study (Moudrý et al. 2024)., Consider species' ecology: SDMs better predict specialist species with narrow ecological niches than generalist species with wider ecological niches (Tsoar et al. 2007) (Moudrý et al. 2024)., Consider the number of predictors investigated. As the ability to differentiate between influential and non-influential variables decreases with decreasing sample sizes (Moudrý et al. 2024)., Consider the complexity of the shape of species response curves must be taken into account as models based on small sample sizes result in less precise estimates of these shapes (Bazzichetto et al. 2023) (Moudrý et al. 2024)., Consider testing the effect of sample size (Moudrý et al. 2024; see also van Proosdij et al. 2015)., Consider designing accurate SDMs with a well-balanced sampling of as few as 50 presences (Moudrý et al. 2024)., Subsampling; weighting; inputation (see Bowler et al. 2024)., Acknowledge modelers were unable to address this assumption.",1,1,1,0,,"Is the sample size adequate for both training and robust evaluation of the model?, How does the required sample size change with the species' prevalence (commonness/rarity) and the environmental variability of the study area?, ""Will the sample size be sufficient to detect a """"practically"""" or """"ecologically"""" significant effect, not just a statistically significant one?"", ""How does sample size impact the choice of modeling technique (e.g. GLM, GAM, Maxent)?"", ""How was the data collected (sampling method), and does this influence the interpretation of the sample size's adequacy?"""
"Data quality, relevance and preparation",Species datasets,Independence of species observations,,,"The independence of observations refers to the crucial assumption that each recorded species presence (or absence) is a unique, unbiased sample, not influenced by other nearby records or underlying spatial/temporal factors, allowing models to accurately link species to environmental conditions.",Working assumptions (Moderate),"When species observations are not independent (e.g. if spatially autocorrelated), the effective number of degrees of freedom used in many statistics associated with the models, e.g. for model selection, no longer corresponds to the apparent number of observations (Legendre, 1993; Legendre et al.2002; Crase et al.2014). Therefore, some statistics may be inaccurate or even wrong (Crase et al.2014)."" (Guisan et al. 2017). ""Residual spatial autocorrelation can be caused by various factors or processes not accounted for in the modelling, which may include extrinsic processes, such as unknown habitat characteristics (Legendre 1993), intrinsic processes, such as conspecific interactions (Wintle and Bardos 2006), or a combination of the two. (Mielke et al. 2020).","Accuracy, Overpredictions, Undepredictions","Inability to capture the true mechanisms driving species distributions, Misidentification of key environmental drivers, Reduced model transferability, Overstimate range expansion, Understimate range expansion, Inaccurate Niche Characterization",High,Very high,Acknowledge modelers were unable to address this assumption.,1,1,1,1,,"Does spatial proximity of observations/counts matter?, Do biological processes cause clustering in observations/counts?"
"Data quality, relevance and preparation",Species datasets,Species breeding status,,,"Multiple assumptions can play a role in population estimates. All individuals within a specific age or stage class have the same probability of survival and reproduction. Every individual in the population has an equal probability of being captured or resighted during a sampling occasion. The population is ""closed"" to immigration, meaning all changes in population size are accounted for by local births and deaths. All types of data (counts, captures, fecundity) are collected at the same time or within a single, consistent biological season. Survival is assumed to be homogeneous within the year.  (see Plard et al. 2021)",Modulating assumptions (Low),"This sampling protocol violates the assumption of recapture homogeneity, i.e. that all females have the same recapture probability. Data were collected during different seasons. Non-immigration. Population model does not include existing non-breeders. ","Accuracy, Overpredictions, Undepredictions","Misrepresentation of Habitat Needs, Failure to Capture Density Dependence, Reduced model transferability",Low,Low,Acknowledge modelers were unable to address this assumption.,0,1,1,0,,"""Do the occurrence data used in the model adequately represent the conditions relevant to the species' entire life cycle, including both breeding and non-breeding periods, or are they biased towards a specific season or activity (e.g. ringing data often focuses on breeding or migration)?"", ""Do the environmental variables used in the model capture seasonal differences in habitat requirements (e.g. specific conditions needed for nesting vs. foraging during non-breeding)?"", ""Does the spatial resolution of the environmental data match the scale at which the species selects habitat for breeding (e.g. a specific microhabitat for a nest site vs. general climate data)?"", ""Does the species' environmental niche, particularly its breeding requirements, remain consistent when projecting models to new geographic areas or future climate scenarios, or do they show local adaptation in habitat use?"", ""Is the species at """"pseudo-equilibrium"""" with its current environment across its entire range during the time frame of the study, meaning that all suitable breeding habitats are occupied, and populations aren't rapidly expanding or contracting due to other factors (like dispersal limitation or recent changes)?"", ""Does the environmental suitability predicted by the model actually equate to high-quality habitat that supports high reproductive success and population growth, or just transient presence?"", ""Can the model predictions be related to actual population parameters like survival and reproduction rates, which ultimately determine the species' persistence, or do they merely indicate probability of presence?"", ""Do the models distinguish between """"source"""" habitats (where reproduction exceeds mortality, producing a population surplus) and """"sink"""" habitats (where mortality exceeds reproduction, and populations are only maintained by immigration), which often rely on linking SDM outputs to demographic parameters?"""
"Data quality, relevance and preparation",Species datasets,Perfect detection,,,"It is often assumed that if a species is present at a sampled site, it will be detected. In reality, detection can be imperfect due to survey conditions or species behavior.",Working assumptions (Moderate),"Failure to account for imperfect detection leads to classifying true presences as false absences, which can bias the model's estimate of habitat suitability and limit its ability to identify true presence sites accurately (e.g. Lahoz et al. 2013).",Undepredictions,Omission errors,Very high,High,"Consider using occupancy models (e.g. Erickson & Smith 2021; Comte & Grenoulliet 2013)., Consider data integration and fusion., Consider using advance modelling frameworks such as Joint Species Dsitribution Models (JSDMs).",1,1,1,,,"Does the failure to detect a species when it is present (false absence error) lead to a significant underestimation of its true distribution and occurrence probability?, ""Does imperfect detection bias the assumed relationships between a species and its environment, potentially leading to incorrect conclusions about its habitat requirements?"", ""Can models based on the perfect detection assumption lead to mischaracterization of conservation problems (e.g. classifying a difficult-to-detect species as critically endangered or extinct when it is not) and inefficient management decisions? "", ""Does the probability of detection change across different locations, times of day, or seasons, and how does this variation affect the model's performance?"", ""Are there specific environmental or survey-related variables (e.g. observer experience, weather, habitat density) that influence detectability, and how can these be effectively incorporated into models to correct the bias?"", ""Does accounting for imperfect detection require specialized and often more resource-intensive data collection methods (e.g. multiple surveys per site, double-observer data, mark-recapture methods), which may not be feasible for the model application?"", Do models that incorporate detection probability introduce additional complexity and potential difficulties in model fitting and interpretation?, ""For a large proportion of species, especially less-studied taxa like plants and invertebrates, is there a complete lack of information on their detectability, making it challenging to adjust models accordingly?"", ""By explicitly accounting for imperfect detection, how much does the reliability and predictive accuracy of the species distribution maps actually improve, compared to simpler """"naïve"""" models?"", Which model evaluation metrics are appropriate when detection is imperfect? Standard metrics like AUC (Area Under the Curve) can be misleading if they assess the ability to predict detections rather than actual occurrences?"
"Data quality, relevance and preparation",Predictors datasets,Predictors are adequate in spatial and temporal resolution,"Araujo et al. (2019), Soley-Guardia et al. (2024)","Issue 2B, Hazard 3","Spatial resolution of predictors are adequate to capture species habitat requirements, distributions, etc. (Soley-Guardia et al. (2024) and Araujo et al. (2019). See also, Šímová et al. 2019, Rödder & Engler 2011, Bradter et al. 2012, Chauvier et al. 2022, Nadeau et al. 2016.",Fundamental assumptions (High),Mismatches in spatiotemporal scales between species and covariates datasets (e.g. Wiens et al. 2010).,"Accuracy, Precision","It can add residual spatial autocorrelation (RSA), Decrease variance explained, Some uncertainties may be averaged out if the grain size of predicted distributions is large, Misidentification of key environmental drivers, Inaccurate Niche Characterization",High,Very high,"Identify appropriate scales of predictors (e.g. Bradter et al. 2012)., Test relevant covariates at multiple scales.",1,1,1,1,To what degree are you concerned about the spatial resolution of the predictor variables?,"At what spatial and temporal scales are the covariates appropriate?, Is the spatial accuracy of the predictor variables appropriate for the scale of the species' occurrence data?"
"Data quality, relevance and preparation",Predictors datasets,Selection of candidate variables. ,Araujo et al. (2019),Issue 2A,Some variables exert a primary control on the species distributions and suitable habitat. (Araujo et al. 2019):,Working assumptions (Moderate),Key predictors are not included in the model,"Accuracy, Overpredictions, Undepredictions","Reduce the statistical power, Misidentification of key environmental drivers, Underestimation of the Ecological Niche",Very high,Very high,"Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""",1,1,1,0,"""Are you concerned about the description and treatment of predictor data, as described in the model metadata."", How concerned are you about missing predictors?, What predictors are missing and why?, How concerned are you about superfluous or inappropriate predictors?, Which predictors should be removed and why?, How concerned are you about inaccuracy in the model predictors?, ""If so, describe the predictor(s) and the areas of concern.""",
"Data quality, relevance and preparation",Predictors datasets,Predictors are relevant for species distribution/abundances,"Araujo et al. (2019), Soley-Guardia et al. (2024)","Issue 2A, Hazard 3","Variables included in the models do in fact reflect the niche requirements of a species"" (Wiens et al. 2009). ""All important environmental predictors required to capture the desired niche of the modeled species are assumed to be available at the resolution relevant for the organism being modeled (Guisan et al. 2017). ",Fundamental assumptions (High),Unmeasured niche dimensions,"Accuracy, Precision, Overpredictions, Undepredictions","Potentially misrepresenting species distributions, Potentially misrepresenting suitable habitats, Underprediciton of potential regions of suitability, Overstimate range expansion, Understimate range expansion, Reduced model transferability, Overestimation of suitable habitat, Understimate range contraction, Underestimation of the Ecological Niche",High,Very high,"Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""",1,1,1,0,,
"Data quality, relevance and preparation",Predictors datasets,Uncertainty in predictor variables,Araujo et al. (2019),Issue 2C,"Predictors measured without error (Araujo et al. 2019):. This issue is rarely assessed in studies of SDMs, although errors are an inherent factor in each GIS predictor layer (McInerny and Purves, Reference McInerny and Purves2011; Marion et al., 2012). Although it is essentially impossible to guarantee zero errors in mapped environmental predictors, estimates of spatial distribution of errors could be associated with each layer and used to calculate spatial uncertainty in the model predictions (Barry and Elith 2006; Van Niel and Austin 2007). There is still a need for a proper method for combining errors from the different environmental variables in the model. This might be achieved using Bayesian approaches that can account for prior knowledge and uncertainty in environmental layers (McInerny and Purves 2011; Keil et al. 2014). (Guisan et al. 2017).",Modulating assumptions (Low),Environmental layer (e.g. climate variables) with error and spatial uncertainty not considered in modelling,"Accuracy, Precision, Overpredictions, Undepredictions","Reduce the statistical power, Erros in model intepretation, Biased Parameter Estimates, Commission errors, Omission errors",Moderate,Moderate,Acknowledge modelers were unable to address this assumption.,1,1,1,1,How concerned are you about inaccuracy in the model predictors?,
"Data quality, relevance and preparation",Predictors datasets,Non-novel environmental conditions,Araujo et al. (2019),Issue 2A,"SDMs assummes future scenarios are within the range of known enviromental conditions (Araujo et al. 2019). That is, climatic conditions between training and introduced areas are analogous (Richmond et al. 2010)",Working assumptions (Moderate),Novel climatic conditions might occur in introduced area (Richmond et al. 2010). Modeled responses extrapolate beyond range of values for environmental predicitors found in native range (Richmond et al. 2010).,"Accuracy, Undepredictions","Biased Parameter Estimates, Omission errors, Overstimate range expansion, Understimate range expansion, Understimate range contraction, Potentially misrepresenting suitable habitats, Underprediciton of potential regions of suitability",Moderate,Moderate,"Use a clamping procedure to limit predictions in regions with novel climatic conditions., Acknowledge modelers were unable to address this assumption.",0,0,1,0,,"""Does projecting models into novel environmental space (environments not represented in the current data) introduce rising, unquantifiable uncertainty, especially in areas expected to undergo significant climate change?"", ""Is there a limit to the forecast horizon (e.g. are the first 30 years of projections more reliable than long-term ones), after which novelty makes them unreliable?"", Does the species' niche remain fixed (niche conservatism)?"
